player_id_text,name,team,position,role_id,fit
ARV_P01, Davian Raya,London Red,GK,Traditional Keeper,4
ARV_P01, Davian Raya,London Red,GK,Modern Keeper,5
ARV_P02, Kepa Arrizalvo,London Red,GK,Traditional Keeper,4
ARV_P02, Kepa Arrizalvo,London Red,GK,Modern Keeper,4
ARV_P03, Karl Heinson,London Red,GK,Traditional Keeper,4
ARV_P03, Karl Heinson,London Red,GK,Modern Keeper,4
ARV_P04, William Saladino,London Red,CB,No-Nonsense CB,3
ARV_P04, William Saladino,London Red,CB,Ball-Playing CB,5
ARV_P04, William Saladino,London Red,CB,Balanced CB,5
ARV_P05, Gabriel Magallero,London Red,CB,No-Nonsense CB,5
ARV_P05, Gabriel Magallero,London Red,CB,Ball-Playing CB,4
ARV_P05, Gabriel Magallero,London Red,CB,Balanced CB,3
ARV_P06, Jakub Kiwanski,London Red,CB,No-Nonsense CB,3
ARV_P06, Jakub Kiwanski,London Red,CB,Ball-Playing CB,5
ARV_P06, Jakub Kiwanski,London Red,CB,Balanced CB,4
ARV_P07, Reece Calafori,London Red,LB,Inverted,4
ARV_P07, Reece Calafori,London Red,LB,Wingback,5
ARV_P07, Reece Calafori,London Red,LB,Defensive Fullback,3
ARV_P08, Myles Lewinsky,London Red,CM,All-Around Midfielder,4
ARV_P08, Myles Lewinsky,London Red,CM,Box-to-Box,4
ARV_P08, Myles Lewinsky,London Red,CM,Deep-Lying Playmaker,5
ARV_P08, Myles Lewinsky,London Red,CM,Box Crasher,2
ARV_P08, Myles Lewinsky,London Red,CM,Mezzala,4
ARV_P09, Declan Pasta,London Red,DM,Deep-Lying Playmaker,4
ARV_P09, Declan Pasta,London Red,DM,Ball-Winning DM,5
ARV_P09, Declan Pasta,London Red,DM,Anchorman,4
ARV_P10, Martin Odegran,London Red,AM,No. 10,4
ARV_P10, Martin Odegran,London Red,AM,Shadow Striker,2
ARV_P11, Michael Medino,London Red,CM,All-Around Midfielder,4
ARV_P11, Michael Medino,London Red,CM,Box-to-Box,4
ARV_P11, Michael Medino,London Red,CM,Deep-Lying Playmaker,3
ARV_P11, Michael Medino,London Red,CM,Box Crasher,5
ARV_P11, Michael Medino,London Red,CM,Mezzala,1
ARV_P12, Samba Loko,London Red,CM,All-Around Midfielder,4
ARV_P12, Samba Loko,London Red,CM,Box-to-Box,4
ARV_P12, Samba Loko,London Red,CM,Deep-Lying Playmaker,4
ARV_P12, Samba Loko,London Red,CM,Box Crasher,2
ARV_P12, Samba Loko,London Red,CM,Mezzala,1
ARV_P13, Mark Zuub,London Red,DM,Deep-Lying Playmaker,5
ARV_P13, Mark Zuub,London Red,DM,Ball-Winning DM,4
ARV_P13, Mark Zuub,London Red,DM,Anchorman,4
ARV_P14, Bukayo Adeyemi,London Red,RW,Inside Forward,5
ARV_P14, Bukayo Adeyemi,London Red,RW,Traditional Winger,5
ARV_P14, Bukayo Adeyemi,London Red,RW,Inverted Winger,5
ARV_P15, Nellinho,London Red,LW,Inside Forward,4
ARV_P15, Nellinho,London Red,LW,Traditional Winger,4
ARV_P15, Nellinho,London Red,LW,Inverted Winger,4
ARV_P16, Vikk Gyokerson,London Red,ST,Poacher,5
ARV_P16, Vikk Gyokerson,London Red,ST,Target Man,4
ARV_P16, Vikk Gyokerson,London Red,ST,Complete Forward,1
ARV_P16, Vikk Gyokerson,London Red,ST,Deep-Lying Forward,1
ARV_P17, Lala Trossano,London Red,LW,Inside Forward,5
ARV_P17, Lala Trossano,London Red,LW,Traditional Winger,3
ARV_P17, Lala Trossano,London Red,LW,Inverted Winger,4
ARV_P18, Noni Moni,London Red,RW,Inside Forward,5
ARV_P18, Noni Moni,London Red,RW,Traditional Winger,4
ARV_P18, Noni Moni,London Red,RW,Inverted Winger,3
ARV_P19, Kai Van Hav,London Red,ST,Poacher,2
ARV_P19, Kai Van Hav,London Red,ST,Target Man,4
ARV_P19, Kai Van Hav,London Red,ST,Complete Forward,5
ARV_P19, Kai Van Hav,London Red,ST,Deep-Lying Forward,4
ARV_P20, Ethan Neri,London Red,AM,No. 10,5
ARV_P20, Ethan Neri,London Red,AM,Shadow Striker,4
LONB_P01, Roberto Sancho,London Blues,GK,Traditional Keeper,4
LONB_P01, Roberto Sancho,London Blues,GK,Modern Keeper,4
LONB_P02, Filip Jorgental,London Blues,GK,Traditional Keeper,4
LONB_P02, Filip Jorgental,London Blues,GK,Modern Keeper,4
LONB_P03, Reece Jamesson,London Blues,RB,Inverted,4
LONB_P03, Reece Jamesson,London Blues,RB,Wingback,4
LONB_P03, Reece Jamesson,London Blues,RB,Defensive Fullback,4
LONB_P04, Marc Cucurietta,London Blues,LB,Inverted,3
LONB_P04, Marc Cucurietta,London Blues,LB,Wingback,5
LONB_P04, Marc Cucurietta,London Blues,LB,Defensive Fullback,5
LONB_P05, Levi Colwelling,London Blues,CB,No-Nonsense CB,2
LONB_P05, Levi Colwelling,London Blues,CB,Ball-Playing CB,4
LONB_P05, Levi Colwelling,London Blues,CB,Balanced CB,4
LONB_P06, Benedict Shield,London Blues,CB,No-Nonsense CB,4
LONB_P06, Benedict Shield,London Blues,CB,Ball-Playing CB,3
LONB_P06, Benedict Shield,London Blues,CB,Balanced CB,4
LONB_P07, Wesley Fofanaro,London Blues,CB,No-Nonsense CB,3
LONB_P07, Wesley Fofanaro,London Blues,CB,Ball-Playing CB,4
LONB_P07, Wesley Fofanaro,London Blues,CB,Balanced CB,4
LONB_P08, Tosin Adtarbio,London Blues,CB,No-Nonsense CB,4
LONB_P08, Tosin Adtarbio,London Blues,CB,Ball-Playing CB,3
LONB_P08, Tosin Adtarbio,London Blues,CB,Balanced CB,4
LONB_P09, Moise Moises,London Blues,DM,Deep-Lying Playmaker,4
LONB_P09, Moise Moises,London Blues,DM,Ball-Winning DM,5
LONB_P09, Moise Moises,London Blues,DM,Anchorman,4
LONB_P10, Enny Fernz,London Blues,CM,All-Around Midfielder,5
LONB_P10, Enny Fernz,London Blues,CM,Box-to-Box,4
LONB_P10, Enny Fernz,London Blues,CM,Deep-Lying Playmaker,4
LONB_P10, Enny Fernz,London Blues,CM,Box Crasher,2
LONB_P10, Enny Fernz,London Blues,CM,Mezzala,1
LONB_P11, Rome Lavius,London Blues,DM,Deep-Lying Playmaker,5
LONB_P11, Rome Lavius,London Blues,DM,Ball-Winning DM,3
LONB_P11, Rome Lavius,London Blues,DM,Anchorman,2
LONB_P12, Andrei Sant,London Blues,CM,All-Around Midfielder,4
LONB_P12, Andrei Sant,London Blues,CM,Box-to-Box,4
LONB_P12, Andrei Sant,London Blues,CM,Deep-Lying Playmaker,4
LONB_P12, Andrei Sant,London Blues,CM,Box Crasher,2
LONB_P12, Andrei Sant,London Blues,CM,Mezzala,2
LONB_P13, Cole Palms,London Blues,AM,No. 10,4
LONB_P13, Cole Palms,London Blues,AM,Shadow Striker,5
LONB_P14, Myhailo Mudrino,London Blues,LW,Inside Forward,4
LONB_P14, Myhailo Mudrino,London Blues,LW,Traditional Winger,4
LONB_P14, Myhailo Mudrino,London Blues,LW,Inverted Winger,4
LONB_P15, John Gittentino,London Blues,LW,Inside Forward,4
