player_id,name,team,position,base_rating
ARV_P01, Davian Raya, London Red, GK,88
ARV_P02, Kepa Arrizalvo, London Red, GK,74
ARV_P03, Karl Heinson, London Red, GK,71
ARV_P04, William Saladino, London Red, CB,94
ARV_P05, Gabriel Magallero, London Red, CB,93
ARV_P06, Jakub Kiwanski, London Red, CB,83
ARV_P07, Reece Calafori, London Red, LB,86
ARV_P08, Myles Lewinsky, London Red, CM,80
ARV_P09, Declan Pasta, London Red, DM,93
ARV_P10, Martin Odegran, London Red, AM,88
ARV_P11, Michael Medino, London Red, CM,86
ARV_P12, Samba Loko, London Red, CM,72
ARV_P13, Mark Zuub, London Red, DM,89
ARV_P14, Bukayo Adeyemi, London Red, RW,94
ARV_P15, Nellinho, London Red, LW,83
ARV_P16, Vikk Gyokerson, London Red, ST,85
ARV_P17, Lala Trossano, London Red, LW,85
ARV_P18, Noni Moni, London Red, RW,83
ARV_P19, Kai Van Hav, London Red, ST,89
ARV_P20, Ethan Neri, London Red, AM,80
LONB_P01, Roberto Sancho, London Blues, GK,83
LONB_P02, Filip Jorgental, London Blues, GK,73
LONB_P03, Reece Jamesson, London Blues, RB,88
LONB_P04, Marc Cucurietta, London Blues, LB,87
LONB_P05, Levi Colwelling, London Blues, CB,85
LONB_P06, Benedict Shield, London Blues, CB,78
LONB_P07, Wesley Fofanaro, London Blues, CB,83
LONB_P08, Tosin Adtarbio, London Blues, CB,80
LONB_P09, Moise Moises, London Blues, DM,91
LONB_P10, Enny Fernz, London Blues, CM,89
LONB_P11, Rome Lavius, London Blues, DM,85
LONB_P12, Andrei Sant, London Blues, CM,82
LONB_P13, Cole Palms, London Blues, AM,93
LONB_P14, Myhailo Mudrino, London Blues, LW,80
LONB_P15, John Gittentino, London Blues, LW,81
LONB_P16, Esteinho, London Blues, RW,84
LONB_P17, Michael Jackson, London Blues, ST,83
LONB_P18, Liam Rap, London Blues, ST,83
LONB_P19, João Pinho, London Blues, ST,86
LONB_P20, Jefferey Hato, London Blues, LB,79
MANR_P01, Andre Onyana, Manchester Reds, GK,72
MANR_P02, Altay Baydaro, Manchester Reds, GK,74
MANR_P03, Diogo Daloto, Manchester Reds, RB,80
MANR_P04, Nick Mazraouy, Manchester Reds, RB,81
MANR_P05, Matthijs De Ligtan, Manchester Reds, CB,83
MANR_P06, Harry Maguireto, Manchester Reds, CB,85
MANR_P07, Leny Yorano, Manchester Reds, CB,85
MANR_P08, Luke Shawell, Manchester Reds, LB,80
MANR_P09, Tyrell Malasio, Manchester Reds, LB,72
MANR_P10, Caseminho, Manchester Reds, DM,75
MANR_P11, Kobbie Mainoro, Manchester Reds, CM,82
MANR_P12, Mason Mountley, Manchester Reds, CM,74
MANR_P13, Broon , Manchester Reds, AM,92
MANR_P14, Manny Ugarteko, Manchester Reds, DM,77
MANR_P15, Reginald Hojlundo, Manchester Reds, ST,79
MANR_P16, Joshua Zirkzay, Manchester Reds, ST,83
MANR_P17, Matheus Cunhado, Manchester Reds, ST,87
MANR_P18, Amad Jones, Manchester Reds, RW,83
MANR_P19, Benjamin Shesk, Manchester Reds, ST,84
MANR_P20,Garnahino, Manchester Reds, LW,80
MCBL_P01, Edersono, Manchester Blues, GK,82
MCBL_P02, James Traffordi, Manchester Blues, GK,81
MCBL_P03, Stefan Ortegara, Manchester Blues, GK,83
MCBL_P04, Ruben Diasal, Manchester Blues, CB,84
MCBL_P05, John Stonese, Manchester Blues, CB,86
MCBL_P06, Jeff Gvard, Manchester Blues, CB,90
MCBL_P07, Nathan Aketon, Manchester Blues, CB,82
MCBL_P08, Melo Akanjia, Manchester Blues, CB,84
MCBL_P09, Tyrico Lewison, Manchester Blues, RB,79
MCBL_P10, Ray Ail-Noradis, Manchester Blues, LB,84
MCBL_P11, Rodriano, Manchester Blues, DM,92
MCBL_P12, Ben Silvado, Manchester Blues, AM,86
MCBL_P13, Walter Fodera, Manchester Blues, AM,88
MCBL_P14, Jack Greal, Manchester Blues, LW,82
MCBL_P15, Mateo Kova, Manchester Blues, CM,80
MCBL_P16, Matheus Nuneski, Manchester Blues, CM,79
MCBL_P17, Erling HaaHaa, Manchester Blues, ST,96
MCBL_P18, Joshua Dokuva, Manchester Blues, RW,86
MCBL_P19,Savv, Manchester Blues, LW,84
MCBL_P20, Oscar Bobbelli, Manchester Blues, RW,75
SCOS_P01, Alisson Betker, Scousers, GK,94
SCOS_P02, Giorgi Marelashvili, Scousers, GK,84
SCOS_P03, Freddie Woodmani, Scousers, GK,73
SCOS_P04, Virgil Vandi, Scousers, CB,92
SCOS_P05, Ibrah Konatez, Scousers, CB,83
SCOS_P06, Joe Gomezi, Scousers, CB,80
SCOS_P07, Milos Kerkezo, Scousers, LB,84
SCOS_P08, Conor Braddley, Scousers, RB,84
SCOS_P09, Giovanni Leoniardo, Scousers, CB,75
SCOS_P10, Jeremie Frimponga, Scousers, RB,88
SCOS_P11, Wataru Endozo, Scousers, DM,78
